SKU	INVENTORY	MARKETPLACE_ID	MIN_PRICE	MAX_PRICE	CURRENT_SHIPPING
ANSWER 458749	0	9261	47.5335	68.95	0
458750	0	9261	47.53	68.95	0
ANSWER 458750	0	9261	47.5335	68.95	0
458751	0	9261	47.53	68.95	0
ANSWER 458751	0	9261	47.5335	68.95	0
458758	9	9261	38.33	55.95	0
ANSWER 458758	9	9261	38.3335	55.95	0
458759	9	9261	38.33	55.95	0
ANSWER 458759	9	9261	38.3335	55.95	0
458760	9	9261	38.33	55.95	0
ANSWER 458760	9	9261	38.3335	55.95	0
458761	9	9261	38.33	55.95	0
ANSWER 458761	9	9261	38.3335	55.95	0
458762	9	9261	38.33	55.95	0
ANSWER 458762	9	9261	38.3335	55.95	0
458838	0	9261	68.81	98.95	0
ANSWER 458838	0	9261	68.8085	98.95	0
458839	0	9261	68.81	98.95	0
ANSWER 458839	0	9261	68.8085	98.95	0
458840	0	9261	68.81	98.95	0
ANSWER 458840	0	9261	68.8085	98.95	0
458841	0	9261	68.81	98.95	0
ANSWER 458841	0	9261	68.8085	98.95	0
458842	1	9261	54.09	98.95	0
ANSWER 458842	1	9261	54.0885	98.95	0
458843	0	9261	54.09	98.95	0
ANSWER 458843	0	9261	54.0885	98.95	0
458844	0	9261	54.09	98.95	0
ANSWER 458844	0	9261	54.0885	98.95	0
458845	0	9261	68.81	98.95	0
ANSWER 458845	0	9261	68.8085	98.95	0
458775	9	9261	54.09	98.95	0
ANSWER 458775	9	9261	54.0885	98.95	0
458776	0	9261	54.09	98.95	0
ANSWER 458776	0	9261	54.0885	98.95	0
458777	0	9261	54.09	98.95	0
ANSWER 458777	0	9261	54.0885	98.95	0
458778	1	9261	54.09	98.95	0
ANSWER 458778	1	9261	54.0885	98.95	0
458779	9	9261	54.09	98.95	0
ANSWER 458779	9	9261	54.0885	98.95	0
458780	9	9261	54.09	98.95	0
ANSWER 458780	9	9261	54.0885	98.95	0
458781	0	9261	54.09	98.95	0
ANSWER 458781	0	9261	54.0885	98.95	0
458782	9	9261	54.09	98.95	0
ANSWER 458782	9	9261	54.0885	98.95	0
458783	0	9261	54.09	98.95	0
ANSWER 458783	0	9261	54.0885	98.95	0
458784	0	9261	54.09	98.95	0
ANSWER 458784	0	9261	54.0885	98.95	0
458785	0	9261	54.09	98.95	0
ANSWER 458785	0	9261	54.0885	98.95	0
458786	0	9261	54.09	98.95	0
ANSWER 458786	0	9261	54.0885	98.95	0
458794	0	9261	54.09	98.95	0
ANSWER 458794	0	9261	54.0885	98.95	0
458795	0	9261	54.09	98.95	0
ANSWER 458795	0	9261	54.0885	98.95	0
458796	0	9261	54.09	98.95	0
ANSWER 458796	0	9261	54.0885	98.95	0
458797	9	9261	54.09	98.95	0
ANSWER 458797	9	9261	54.0885	98.95	0
458798	9	9261	54.09	98.95	0
ANSWER 458798	9	9261	54.0885	98.95	0
458799	9	9261	54.09	98.95	0
ANSWER 458799	9	9261	54.0885	98.95	0
458800	0	9261	54.09	98.95	0
ANSWER 458800	0	9261	54.0885	98.95	0
458801	0	9261	54.09	98.95	0
ANSWER 458801	0	9261	54.0885	98.95	0
458802	0	9261	54.09	98.95	0
ANSWER 458802	0	9261	54.0885	98.95	0
458824	9	9261	54.09	98.95	0
ANSWER 458824	9	9261	54.0885	98.95	0
458825	9	9261	54.09	98.95	0
ANSWER 458825	9	9261	54.0885	98.95	0
458826	9	9261	54.09	98.95	0
ANSWER 458826	9	9261	54.0885	98.95	0
458827	9	9261	54.09	98.95	0
ANSWER 458827	9	9261	54.0885	98.95	0
458828	9	9261	54.09	98.95	0
ANSWER 458828	9	9261	54.0885	98.95	0
458829	9	9261	54.09	98.95	0
ANSWER 458829	9	9261	54.0885	98.95	0
458830	9	9261	54.09	98.95	0
ANSWER 458830	9	9261	54.0885	98.95	0
458831	2	9261	54.09	98.95	0
ANSWER 458831	2	9261	54.0885	98.95	0
458852	0	9261	54.09	98.95	0
ANSWER 458852	0	9261	54.0885	98.95	0
458853	0	9261	54.09	98.95	0
ANSWER 458853	0	9261	54.0885	98.95	0
458854	0	9261	54.09	98.95	0
ANSWER 458854	0	9261	54.0885	98.95	0
458855	0	9261	68.81	98.95	0
ANSWER 458855	0	9261	68.8085	98.95	0
458856	1	9261	54.09	98.95	0
ANSWER 458856	1	9261	54.0885	98.95	0
458857	1	9261	54.09	98.95	0
ANSWER 458857	1	9261	54.0885	98.95	0
458858	0	9261	54.09	98.95	0
ANSWER 458858	0	9261	54.0885	98.95	0
458859	0	9261	54.09	98.95	0
ANSWER 458859	0	9261	54.0885	98.95	0
458810	9	9261	54.09	98.95	0
ANSWER 458810	9	9261	54.0885	98.95	0
458811	9	9261	54.09	98.95	0
ANSWER 458811	9	9261	54.0885	98.95	0
458812	0	9261	54.09	98.95	0
ANSWER 458812	0	9261	54.0885	98.95	0
458813	9	9261	54.09	98.95	0
ANSWER 458813	9	9261	54.0885	98.95	0
458814	9	9261	54.09	98.95	0
ANSWER 458814	9	9261	54.0885	98.95	0
458815	9	9261	54.09	98.95	0
ANSWER 458815	9	9261	54.0885	98.95	0
458816	0	9261	54.09	98.95	0
ANSWER 458816	0	9261	54.0885	98.95	0
458817	0	9261	54.09	98.95	0
ANSWER 458817	0	9261	54.0885	98.95	0
458911	0	9261	28.79	48.95	0
ANSWER 458911	0	9261	28.7885	48.95	0
458912	0	9261	33.39	48.95	0
ANSWER 458912	0	9261	33.3885	48.95	0
458913	3	9261	28.79	48.95	0
ANSWER 458913	3	9261	28.7885	48.95	0
458914	8	9261	28.79	48.95	0
ANSWER 458914	8	9261	28.7885	48.95	0
458915	0	9261	33.39	48.95	0
ANSWER 458915	0	9261	33.3885	48.95	0
458916	0	9261	28.79	48.95	0
ANSWER 458916	0	9261	28.7885	48.95	0
458865	9	9261	28.79	48.95	0
ANSWER 458865	9	9261	28.7885	48.95	0
458866	0	9261	28.79	48.95	0
ANSWER 458866	0	9261	28.7885	48.95	0
458867	9	9261	28.79	48.95	0
ANSWER 458867	9	9261	28.7885	48.95	0
458868	0	9261	28.79	48.95	0
ANSWER 458868	0	9261	28.7885	48.95	0
458869	0	9261	28.79	48.95	0
ANSWER 458869	0	9261	28.7885	48.95	0
458870	9	9261	28.79	48.95	0
ANSWER 458870	9	9261	28.7885	48.95	0
458871	0	9261	28.79	48.95	0
ANSWER 458871	0	9261	28.7885	48.95	0
458877	9	9261	28.79	48.95	0
ANSWER 458877	9	9261	28.7885	48.95	0
458878	0	9261	28.79	48.95	0
ANSWER 458878	0	9261	28.7885	48.95	0
458879	0	9261	28.79	48.95	0
ANSWER 458879	0	9261	28.7885	48.95	0
458880	0	9261	28.79	48.95	0
ANSWER 458880	0	9261	28.7885	48.95	0
458881	0	9261	28.79	48.95	0
ANSWER 458881	0	9261	28.7885	48.95	0
458882	9	9261	28.79	48.95	0
ANSWER 458882	9	9261	28.7885	48.95	0
458883	0	9261	28.79	48.95	0
ANSWER 458883	0	9261	28.7885	48.95	0
458900	9	9261	28.79	48.95	0
ANSWER 458900	9	9261	28.7885	48.95	0
458901	9	9261	28.79	48.95	0
ANSWER 458901	9	9261	28.7885	48.95	0
458902	9	9261	28.79	48.95	0
ANSWER 458902	9	9261	28.7885	48.95	0
458903	9	9261	28.79	48.95	0
ANSWER 458903	9	9261	28.7885	48.95	0
458904	9	9261	28.79	48.95	0
ANSWER 458904	9	9261	28.7885	48.95	0
458905	9	9261	28.79	48.95	0
ANSWER 458905	9	9261	28.7885	48.95	0
458922	1	9261	28.79	48.95	0
ANSWER 458922	1	9261	28.7885	48.95	0
458923	0	9261	28.79	48.95	0
ANSWER 458923	0	9261	28.7885	48.95	0
458924	0	9261	33.39	48.95	0
ANSWER 458924	0	9261	33.3885	48.95	0
458925	0	9261	33.39	48.95	0
ANSWER 458925	0	9261	33.3885	48.95	0
458926	0	9261	28.79	48.95	0
ANSWER 458926	0	9261	28.7885	48.95	0
458927	0	9261	28.79	48.95	0
ANSWER 458927	0	9261	28.7885	48.95	0
458889	9	9261	28.79	48.95	0
ANSWER 458889	9	9261	28.7885	48.95	0
458890	0	9261	28.79	48.95	0
ANSWER 458890	0	9261	28.7885	48.95	0
458891	7	9261	28.79	48.95	0
ANSWER 458891	7	9261	28.7885	48.95	0
458892	2	9261	28.79	48.95	0
ANSWER 458892	2	9261	28.7885	48.95	0
458893	2	9261	28.79	48.95	0
ANSWER 458893	2	9261	28.7885	48.95	0
458894	9	9261	28.79	48.95	0
ANSWER 458894	9	9261	28.7885	48.95	0
458976	0	9261	25.34	42.95	0
ANSWER 458976	0	9261	25.3385	42.95	0
458977	0	9261	25.34	42.95	0
ANSWER 458977	0	9261	25.3385	42.95	0
458978	9	9261	25.34	42.95	0
ANSWER 458978	9	9261	25.3385	42.95	0
458979	9	9261	25.34	42.95	0
ANSWER 458979	9	9261	25.3385	42.95	0
458980	9	9261	25.34	42.95	0
ANSWER 458980	9	9261	25.3385	42.95	0
458934	0	9261	25.34	42.95	0
ANSWER 458934	0	9261	25.3385	42.95	0
458935	0	9261	25.34	42.95	0
ANSWER 458935	0	9261	25.3385	42.95	0
458936	0	9261	25.34	42.95	0
ANSWER 458936	0	9261	25.3385	42.95	0
458937	9	9261	25.34	42.95	0
ANSWER 458937	9	9261	25.3385	42.95	0
458938	9	9261	25.34	42.95	0
ANSWER 458938	9	9261	25.3385	42.95	0
458945	0	9261	25.34	42.95	0
ANSWER 458945	0	9261	25.3385	42.95	0
458946	0	9261	25.34	42.95	0
ANSWER 458946	0	9261	25.3385	42.95	0
458947	0	9261	25.34	42.95	0
ANSWER 458947	0	9261	25.3385	42.95	0
458948	9	9261	25.34	42.95	0
ANSWER 458948	9	9261	25.3385	42.95	0
458949	9	9261	25.34	42.95	0
ANSWER 458949	9	9261	25.3385	42.95	0
458966	9	9261	25.34	42.95	0
ANSWER 458966	9	9261	25.3385	42.95	0
458967	9	9261	25.34	42.95	0
ANSWER 458967	9	9261	25.3385	42.95	0
458968	9	9261	25.34	42.95	0
ANSWER 458968	9	9261	25.3385	42.95	0
458969	9	9261	25.34	42.95	0
ANSWER 458969	9	9261	25.3385	42.95	0
458970	9	9261	25.34	42.95	0
ANSWER 458970	9	9261	25.3385	42.95	0
458986	9	9261	25.34	42.95	0
ANSWER 458986	9	9261	25.3385	42.95	0
458987	0	9261	25.34	42.95	0
ANSWER 458987	0	9261	25.3385	42.95	0
458988	9	9261	25.34	42.95	0
ANSWER 458988	9	9261	25.3385	42.95	0
458989	9	9261	25.34	42.95	0
ANSWER 458989	9	9261	25.3385	42.95	0
458990	9	9261	25.34	42.95	0
ANSWER 458990	9	9261	25.3385	42.95	0
458956	9	9261	25.34	42.95	0
ANSWER 458956	9	9261	25.3385	42.95	0
458957	9	9261	25.34	42.95	0
ANSWER 458957	9	9261	25.3385	42.95	0
458958	9	9261	25.34	42.95	0
ANSWER 458958	9	9261	25.3385	42.95	0
458959	9	9261	25.34	42.95	0
ANSWER 458959	9	9261	25.3385	42.95	0
458960	9	9261	25.34	42.95	0
ANSWER 458960	9	9261	25.3385	42.95	0
459154	0	9261	68.81	98.95	0
ANSWER 459154	0	9261	68.8085	98.95	0
459155	0	9261	68.81	98.95	0
ANSWER 459155	0	9261	68.8085	98.95	0
459156	0	9261	68.81	98.95	0
ANSWER 459156	0	9261	68.8085	98.95	0
459157	0	9261	68.81	98.95	0
ANSWER 459157	0	9261	68.8085	98.95	0
459158	9	9261	68.81	98.95	0
ANSWER 459158	9	9261	68.8085	98.95	0
459159	9	9261	68.81	98.95	0
ANSWER 459159	9	9261	68.8085	98.95	0
459160	9	9261	68.81	98.95	0
ANSWER 459160	9	9261	68.8085	98.95	0
459166	0	9261	33.39	48.95	0
ANSWER 459166	0	9261	33.3885	48.95	0
459167	0	9261	33.39	48.95	0
ANSWER 459167	0	9261	33.3885	48.95	0
459168	0	9261	33.39	48.95	0
ANSWER 459168	0	9261	33.3885	48.95	0
459169	0	9261	33.39	48.95	0
ANSWER 459169	0	9261	33.3885	48.95	0
459170	9	9261	33.39	48.95	0
ANSWER 459170	9	9261	33.3885	48.95	0
